order_id,item_index,invoice_number,invoice_date,order_date,seller_name,seller_tax_id,buyer_name,buyer_tax_id,item_description,item_asin,item_qty,item_unit_price_net,item_vat_rate,item_vat_amount,item_total_gross,subtotal_net,shipping_net,total_vat,total_gross,is_official_invoice,document_type,source_file
171-0896452-7034748,1,ES5000132LP0BI,2025-12-31,2025-12-30,shenzhenshidoubaokejiyouxiangongsi,ESN0272491B,LAYERONE SLU,ESB67716035,Dr. Pen Ultima M8S Microneedling Pen: Pluma de Microneedling Inalámbrica - 12 Cartuchos de Repuesto,B0CSD4L1V4,1,70.65,0,0.0,70.65,70.65,0.0,0.0,70.65,True,invoice,20251231_Tax Invoice_171-0896452-7034748.pdf
171-0779289-4788356,1,IT25-AEUI-19026558,2025-12-30,2025-12-27,"Amazon EU S.à r.l., Succursale Italiana",IT08973230967,LAYERONE SLU,ESB67716035,"Spanish in 60 Days: The Language Learning Workbook to Help You Speak Just Like the Locals With Common Slang Words and Phrases, Conversation Starters, and Grammar Rules to Live By! (Learn Spanish)",B0CLS4XDQ7,1,21.45,0,0.0,21.45,21.45,0.0,0.0,21.45,True,invoice,20251230_Tax Invoice_171-0779289-4788356.pdf
408-0266502-4648318,1,ES5006L2ZJFHXI,2025-12-29,2025-12-26,Aldaba World S.L.,ESB87472213,LAYERONE SLU,ESB67716035,"Goula - Puzle magnético intercambiable, Encajable para niños a partir de 1 año",B0050OUQBY,1,18.13,21,3.81,21.94,18.13,2.87,4.41,25.41,True,invoice,20251229_Tax Invoice_408-0266502-4648318.pdf
171-7773351-6635506,1,ES50004LT6WP7I,2025-12-29,2025-12-27,YERBERO SL,ESB22002604,LAYERONE SLU,ESB67716035,YERBERO Nature Salmon & Rice 10 kg Pienso para Perros sin Gluten con Cordero - Pienso Hipoalergénico para Perros con Alta Digestibilidad - con Omega 3 para Pelo Brillante,B0DKFPX17L,4,34.55,10,13.8,152,138.2,0,13.8,152,True,invoice,20251229_Tax Invoice_171-7773351-6635506.pdf
171-1837453-6324318,1,ES540LD6AEUI,2025-12-28,2025-12-25,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,GALLINA BLANCA Caldo Casero de Pollo 100% Natural 4L,B01IU8MJ7K,2,5.71,10,1.14,12.56,17.13,0.0,1.71,18.84,True,invoice,20251228_Tax Invoice_171-1837453-6324318.pdf
171-1837453-6324318,2,ES540LD6AEUI,2025-12-28,2025-12-25,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,GALLINA BLANCA Caldo Casero de Pollo 100% Natural 4L,B01IU8MJ7K,1,5.71,10,0.57,6.28,17.13,0.0,1.71,18.84,True,invoice,20251228_Tax Invoice_171-1837453-6324318.pdf
408-5449525-1280354,1,IT5001VW5BF4PI,2025-12-28,2025-12-26,Freedom Cloud Limited,IT05188070261,LAYERONE SLU,ESB67716035,"hahaland Juguetes Bebes 6-12 Meses - Granja de Peluche con 6 Animales Interactivo, Granero Plegable Blando - Juguete Montessori para Bebe 6 Meses Regalo Original",B0F2HRNW75,1,25.86,0,0.0,25.86,25.86,0.0,0.0,25.86,True,invoice,20251228_Tax Invoice_408-5449525-1280354.pdf
171-1644615-9908342,1,ES5404BZAEUI,2025-12-27,2025-12-27,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Skechers GO RUN 650, Zapatillas para Niñas, Black, 34 EU",B08DHCJKR4,1,25.58,21,5.37,30.95,25.58,0.0,5.37,30.95,True,invoice,20251227_Tax Invoice_171-1644615-9908342.pdf
408-5576552-5742711,1,ES5402PRAEUI,2025-12-27,2025-12-26,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"BEBÉS LLORONES Disney Angel Muñeca bebé Bebé Llorón Loving Care. Inspirada en Angel, Incluye 3 Accesorios Y Llora Lágrimas Reales Niñas/os a Partir de 3 años",B0F7XYGWK9,1,26.36,21,5.54,31.9,26.36,0.0,5.54,31.9,True,invoice,20251227_Tax Invoice_408-5576552-5742711.pdf
408-3562933-4823524,1,ES50013NZA4KPI,2025-12-27,2025-12-26,Syncfun Hongkong Limited,ESN0272573G,LAYERONE SLU,ESB67716035,JOYIN Juguetes de Dinosaurios para Niños de 3-6 Años - 19 Regalos con Juegos de Almohadillas y Jaulas de Almacenamiento,B0D5GLT4R4,1,24.79,0,0.0,24.79,24.79,0.0,0.0,24.79,True,invoice,20251227_Tax Invoice_408-3562933-4823524_1.pdf
